timestamp,open,high,low,close,volume
2026-04-16 11:26:00+00:00,26394.0,26395.0,26388.5,26388.5,322
2026-04-16 11:27:00+00:00,26388.5,26388.5,26382.75,26388.25,843
2026-04-16 11:28:00+00:00,26388.0,26396.0,26386.5,26395.0,609
2026-04-16 11:29:00+00:00,26395.5,26397.5,26393.5,26397.0,425
2026-04-16 11:30:00+00:00,26396.25,26411.5,26396.0,26409.25,1384
2026-04-16 11:31:00+00:00,26409.0,26412.75,26407.25,26411.5,672
2026-04-16 11:32:00+00:00,26411.25,26412.75,26408.0,26409.75,361
2026-04-16 11:33:00+00:00,26410.75,26412.5,26406.75,26409.0,330
2026-04-16 11:34:00+00:00,26409.75,26421.0,26409.75,26420.0,901
2026-04-16 11:35:00+00:00,26420.5,26420.5,26415.75,26418.0,416
2026-04-16 11:36:00+00:00,26417.5,26419.5,26413.75,26414.5,425
2026-04-16 11:37:00+00:00,26414.75,26419.75,26414.75,26419.0,252
2026-04-16 11:38:00+00:00,26418.25,26420.5,26410.75,26411.25,516
2026-04-16 11:39:00+00:00,26410.75,26413.25,26406.5,26407.75,515
2026-04-16 11:40:00+00:00,26407.0,26407.5,26402.0,26403.75,708
2026-04-16 11:41:00+00:00,26403.5,26409.25,26403.5,26404.75,464
2026-04-16 11:42:00+00:00,26405.5,26405.5,26401.25,26403.5,299
2026-04-16 11:43:00+00:00,26403.25,26408.25,26403.25,26406.0,302
2026-04-16 11:44:00+00:00,26406.0,26407.75,26404.25,26407.5,225
2026-04-16 11:45:00+00:00,26406.75,26412.0,26404.5,26409.25,575
2026-04-16 11:46:00+00:00,26409.0,26409.25,26403.5,26405.25,447
2026-04-16 11:47:00+00:00,26405.5,26406.0,26402.75,26405.25,269
2026-04-16 11:48:00+00:00,26405.25,26414.25,26404.25,26412.25,521
2026-04-16 11:49:00+00:00,26412.0,26413.25,26408.25,26409.0,273
2026-04-16 11:50:00+00:00,26408.5,26425.5,26408.25,26418.5,1018
2026-04-16 11:51:00+00:00,26418.75,26419.25,26413.5,26413.5,332
2026-04-16 11:52:00+00:00,26414.75,26418.75,26413.5,26418.5,284
2026-04-16 11:53:00+00:00,26418.5,26420.75,26416.0,26418.0,271
2026-04-16 11:54:00+00:00,26417.5,26420.5,26416.5,26419.0,218
2026-04-16 11:55:00+00:00,26418.25,26420.75,26416.75,26417.25,276
2026-04-16 11:56:00+00:00,26417.0,26420.5,26415.25,26417.25,231
2026-04-16 11:57:00+00:00,26416.75,26417.75,26414.25,26414.75,123
2026-04-16 11:58:00+00:00,26415.0,26421.0,26413.5,26419.75,391
2026-04-16 11:59:00+00:00,26420.0,26422.25,26417.5,26418.0,394
2026-04-16 12:00:00+00:00,26418.75,26425.0,26416.0,26417.0,664
2026-04-16 12:01:00+00:00,26417.5,26427.5,26417.5,26426.75,686
2026-04-16 12:02:00+00:00,26426.5,26431.0,26424.25,26426.5,1056
2026-04-16 12:03:00+00:00,26426.25,26429.75,26424.25,26425.5,583
2026-04-16 12:04:00+00:00,26425.5,26427.25,26421.75,26424.75,398
2026-04-16 12:05:00+00:00,26424.5,26426.75,26423.25,26424.5,293
2026-04-16 12:06:00+00:00,26424.5,26425.0,26413.5,26417.5,973
2026-04-16 12:07:00+00:00,26418.0,26418.0,26399.75,26408.0,1596
